Issuer,Card Name,Business/Personal,Annual Fee,Annual/Monthly Credits,Annual Free Nights or Points Bonus
AmEx,AmEx Platinum Card for Schwab,Personal,$695 ,"$200 Airline Fee (Annual), $240 Digital Entertainment ($20/month), $200 Uber Cash ($15/month, $35 in December), $100 Saks Credit ($50 Semi-Annual), $200 Hotel Credit (Annual), $300 Equinox ($25/month)",None
AmEx,AmEx Schwab Investor Credit Card,Personal,$0 ,None,None
AmEx,AmEx Green Card,Personal,$150 ,"$189 Clear Credit (Annual), $100 LoungeBuddy Credit (Annual)",None
AmEx,AmEx EveryDay (ED) Credit Card,Personal,$0 ,None,None
AmEx,AmEx Hilton Aspire Credit Card,Personal,$550 ,"$200 Airline Fee (Annual), $400 Hilton Resort Credit ($200 Semi-Annual), $189 Clear Credit (Annual)","1 Free Night, 150,000 Points Bonus (if spending threshold met)"
AmEx,AmEx Hilton Surpass Credit Card,Personal,$150 ,$50 Hilton Statement Credit (Quarterly),1 Free Night (if spending threshold met)
AmEx,AmEx Hilton Credit Card,Personal,$0 ,None,None
Delta,Delta SkyMiles® Gold Card from American Express,Personal,$150 ,$100 Delta Flight Credit (if spending threshold met),None
Delta,Delta SkyMiles® Platinum Card from American Express,Personal,$350 ,$150 Delta Stays Credit (Annual),"10,000 MQM Bonus (if spending threshold met)"
Delta,Delta SkyMiles® Reserve Card from American Express,Personal,$650 ,$200 Delta Stays Credit (Annual),Companion Certificate (Annual)
AmEx,AmEx Marriott Bonvoy Brilliant Credit Card,Personal,$650 ,$300 Dining Credit ($25/month),1 Free Night (85k Points)
AmEx,AmEx Marriott Bonvoy Bevy Credit Card,Personal,$250 ,None,"1 Free Night (50k Points, if spending threshold met)"
AmEx,AmEx Gold Card,Personal,$250 ,"$120 Uber Cash ($10/month), $120 Dining Credit ($10/month)",None
AmEx,AmEx Platinum Card,Personal,$695 ,"$200 Airline Fee (Annual), $240 Digital Entertainment ($20/month), $200 Uber Cash ($15/month, $35 in December), $100 Saks Credit ($50 Semi-Annual), $200 Hotel Credit (Annual), $300 Equinox ($25/month)",None
AmEx,AmEx Platinum Card for Morgan Stanley,Personal,$695 ,Same as AmEx Platinum,None
